Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Gegner
2025-08-24_HCR_A,Tor Tigers: 2,D3,L3,,5:5,,,Christian Stucki,Nick Pfister,Festsetzen,0.55,,
2025-08-24_HCR_A,Tor Tigers: 3,D3,L3,,5:5,,,Christian Stucki,Nick Pfister,Konter,0.60,,
2025-08-24_HCR_A,ZOE For: 1,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 2,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 3,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 4,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 5,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 6,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 7,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 8,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 9,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 10,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 11,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 12,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 13,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 14,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 15,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 16,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 17,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 18,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 19,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 20,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 21,D1,L2,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 22,D1,L2,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 23,D1,L2,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 24,D1,L1,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 25,D1,L2,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 26,D1,L2,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 27,D1,L3,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 28,D1,L3,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 29,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 30,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 31,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 32,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 33,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 34,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 35,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 36,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 37,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 38,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 39,D1,L2,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 40,D1,L2,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 41,D1,L1,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 42,D1,L3,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 43,D1,L3,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 44,D1,L2,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 45,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 46,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 47,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 48,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 49,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 50,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 51,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE For: 52,D1,L3,,5:5,,,,,Auslösung,,Bad,
2025-08-24_HCR_A,ZOE For: 53,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_HCR_A,ZOE Gegner: 1,D1,L1,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 2,D1,L1,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 3,D1,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 4,D1,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 5,D1,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 6,D1,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 7,D1,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 8,D1,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 9,D1,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 10,D1,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 11,D1,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_HCR_A,ZOE Gegner: 12,D1,L3,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 13,D1,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 14,D1,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 15,D1,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 16,D1,L1,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 17,D1,L1,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 18,D1,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 19,D1,L1,,5:5,,,,,Auslösung,,,Bad
2025-08-24_HCR_A,ZOE Gegner: 20,D1,L2,,5:5,,,,,Auslösung,,,Good
