Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Spieler Tigers,Taktische Spielsituation,ZOE_For,ZOE_Against,Schussmetrik,Schusslabels
2022-01-24_vs_VF5FBK,ZOE For: 1,D1,L1,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 2,D1,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 3,D1,L1,5:5,Martin Mosimann,Auslösung,Bad,,,
2022-01-24_vs_VF5FBK,ZOE For: 4,D1,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 5,D2,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 6,D2,L1,5:5,,Auslösung,Bad,,,
2022-01-24_vs_VF5FBK,ZOE For: 7,D2,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 8,D2,L3,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 9,D2,L2,5:5,,Auslösung,Bad,,,
2022-01-24_vs_VF5FBK,ZOE For: 10,D2,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 11,D2,L1,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 12,D2,L2,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 13,D2,L1,5:5,,Auslösung,Bad,,,
2022-01-24_vs_VF5FBK,ZOE For: 14,D3,L1,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 15,D3,L1,5:5,,Auslösung,Good,,,
2022-01-24_vs_VF5FBK,ZOE For: 16,D3,L3,5:5,,Auslösung,Bad,,,
2022-01-24_vs_VF5FBK,Tor Tigers: 1,D2,L3,5:5,Martin Mosimann,Festsetzen,,,,
2022-01-24_vs_VF5FBK,Tor Tigers: 2,D3,PP1,5:4,Marco Rentsch,,,,,
2022-01-24_vs_VF5FBK,Tor Tigers: 3,D3,L2,5:5,Janis Lauber,Nachsetzen,,,,
