Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS6_Alligator_Malans_A,Tor Tigers: 4,D1,L2,5:5,Handgelenk,,Janis Lauber,,Konter,0.4,,
MS6_Alligator_Malans_A,Tor Tigers: 5,D2,L1,5:5,Handgelenk,,Simon Steiner,Kevin Kropf,Auslösung,0.8,,
MS6_Alligator_Malans_A,Tor Tigers: 6,D2,PP1,5:4,Gezogen,,Janis Lauber,Elias Lunnestad,,0.2,,
MS6_Alligator_Malans_A,Tor Tigers: 7,D2,L2,5:5,Direkt,,Matteo Steiner,Janis Lauber,Auslösung,0.5,,
MS6_Alligator_Malans_A,High Q Chance For: 1,D3,L2,5:5,Volley,,Nick Pfister,Luca Fankhauser,Auslösung,0.4,,
MS6_Alligator_Malans_A,High Q Chance For: 2,D1,L2,5:5,Direkt,Neben Tor,Matteo Steiner,Nick Pfister,Konter,0.4,,
MS6_Alligator_Malans_A,Tor Gegner: 1,D1,BP2,4:5,Gezogen,,,,,0.3,,
MS6_Alligator_Malans_A,Tor Gegner: 2,D1,L3,5:5,Direkt,,,,Standart,0.1,,
MS6_Alligator_Malans_A,Tor Gegner: 3,D2,BP1,4:5,Direkt,,,,,0.3,,
MS6_Alligator_Malans_A,Tor Gegner: 4,D2,L2,5:5,Volley,,,,Standart,0.5,,
