Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PFVF3_SVWE,Standart ohne Ball: 6,D1,L3,,5:5,,,Standart,,,
PFVF3_SVWE,Standart ohne Ball: 7,D1,L1,,5:5,,,Standart,,,
PFVF3_SVWE,Standart ohne Ball: 8,,L2,,5:5,,,,,,
PFVF3_SVWE,Standart ohne Ball: 9,"D1, D1","L3, L3",,"5:5, 5:5",Handgelenk,,"Standart, Standart",0.1,,
PFVF3_SVWE,Standart ohne Ball: 10,D1,L1,,5:5,,,Standart,,,
PFVF3_SVWE,Standart ohne Ball: 11,D3,L1,,5:5,,,Standart,,,
PFVF3_SVWE,Divers: 1,D1,L1,,5:5,,,,,,
PFVF3_SVWE,Divers: 2,D1,L3,,5:5,,,,,,
PFVF3_SVWE,Divers: 3,D1,L3,,5:5,,Luca Steiner,Auslösung,,,
PFVF3_SVWE,Divers: 4,,,,,,,,,,
PFVF3_SVWE,Divers: 5,D1,L1,,5:5,,,Auslösung,,,
PFVF3_SVWE,Divers: 6,D2,L2,,5:5,,,Auslösung,,,
PFVF3_SVWE,Divers: 7,,,,,,,,,,
PFVF3_SVWE,Divers: 8,,,,,,,,,,
PFVF3_SVWE,Divers: 9,,,,,,,,,,
PFVF3_SVWE,Divers: 10,"D2, D2","L3, L3",,"5:5, 5:5",Direkt,,"Auslösung, Auslösung",0.4,,
PFVF3_SVWE,Divers: 11,,,,,,,,,,
PFVF3_SVWE,Divers: 12,D2,L2,,5:5,,,,,,
PFVF3_SVWE,Divers: 13,,,,,,,,,,
PFVF3_SVWE,Divers: 14,,,,,,,,,,
PFVF3_SVWE,Divers: 15,,,,,,,,,,
PFVF3_SVWE,Mid Q Chance Against: 1,D1,L3,,5:5,Direkt,,Festsetzen,0.3,,
PFVF3_SVWE,Mid Q Chance Against: 2,D1,L2,,5:5,Volley,,Konter,0.3,,
PFVF3_SVWE,Mid Q Chance Against: 3,D2,L2,,5:5,Gezogen,,Konter,0.3,,
PFVF3_SVWE,Mid Q Chance Against: 4,D2,L3,,5:5,Direkt,,Auslösung,0.4,,
PFVF3_SVWE,Mid Q Chance Against: 5,D2,L2,,5:5,Direkt,,Standart,0.3,,
PFVF3_SVWE,Mid Q Chance Against: 6,D2,L2,,5:5,Direkt,,Festsetzen,0.3,,
PFVF3_SVWE,High Q Chance For: 1,D1,L1,,5:5,Gezogen,Matteo Steiner,Nachsetzen,0.4,,
PFVF3_SVWE,High Q Chance For: 2,D2,L2,,5:5,Volley,,Nachsetzen,,,
PFVF3_SVWE,Zone-Exits: 1,D1,L1,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,Zone-Exits: 2,D1,L3,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,Zone-Exits: 3,D1,L2,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,Zone-Exits: 4,D2,L2,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,Zone-Exits: 5,D2,L2,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,Zone-Exits: 6,D2,L3,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,Zone-Exits: 7,D2,L2,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,Zone-Exits: 8,D3,L2,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,Zone-Exits: 9,D3,L1,,5:5,,,Auslösung,,Bad,
PFVF3_SVWE,Zone-Exits: 10,D3,L1,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,Zone-Exits: 11,D3,L2,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,Zone-Exits: 12,D3,L2,,5:5,,,Auslösung,,Good,
PFVF3_SVWE,Nachsetzen Tigers: 1,D1,L1,Good,5:5,,,Nachsetzen,,,
PFVF3_SVWE,Nachsetzen Tigers: 2,D2,L2,Good,5:5,,,Nachsetzen,,,
PFVF3_SVWE,High Q Chance Against: 1,D1,L3,,5:5,Direkt,,Nachsetzen,0.5,,
PFVF3_SVWE,High Q Chance Against: 2,D3,L2,,5:5,Direkt,,Konter,0.5,,
PFVF3_SVWE,Mid Q Chance For: 1,D2,L1,,5:5,Gezogen,Matteo Steiner,Festsetzen,0.4,,
PFVF3_SVWE,Mid Q Chance For: 2,D2,L2,,5:5,Direkt,Simon Steiner,Festsetzen,0.3,,
PFVF3_SVWE,Tor Gegner: 1,D2,L3,,5:5,Direkt,,Festsetzen,0.2,,
PFVF3_SVWE,Tor Gegner: 2,D2,L1,,5:5,Direkt,,Festsetzen,0.4,,
PFVF3_SVWE,Tor Gegner: 3,D2,L1,,5:5,Direkt,,Konter,0.3,,
PFVF3_SVWE,Tor Gegner: 4,D3,L2,,5:5,Direkt,,Festsetzen,0.2,,
PFVF3_SVWE,Tor Gegner: 5,D3,L1,,5:6,Volley,,,0.5,,
PFVF3_SVWE,Tor Gegner: 6,D3,L2,,6:5,Gezogen,,Auslösung,0.4,,
PFVF3_SVWE,BP1: 1,,,,,,,,,,
PFVF3_SVWE,BP2: 1,,,,,,,,,,
PFVF3_SVWE,Pot + Chance For: 1,D3,L2,,5:5,Volley,Simon Steiner,Konter,0.2,,
PFVF3_SVWE,PP1: 1,,,,,,,,,,
PFVF3_SVWE,5:6: 1,,,,,,,,,,
PFVF3_SVWE,5:6: 2,,,,,,,,,,
PFVF3_SVWE,5:6: 3,,,,,,,,,,
PFVF3_SVWE,5:6: 4,,,,,,,,,,
PFVF3_SVWE,5:6: 5,,,,,,,,,,
PFVF3_SVWE,5:6: 6,,,,,,,,,,
PFVF3_SVWE,5:6: 7,,,,,,,,,,
PFVF3_SVWE,5:6: 8,,,,,,,,,,
