league,Spiel,team_for,team_against,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 26,D3,L1,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 27,D3,L3,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 28,D3,L2,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 29,D3,L1,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 30,D3,L1,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 31,D3,L1,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 32,D3,L1,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 33,OT,L2,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 34,D3,L1,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 35,OT,L2,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Setplay : 1,,,,,,,,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Setplay : 2,,,,,,,,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Setplay : 3,,,,,,,,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 1,,L1,,5:5,Direkt,Auf Tor,Konter,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 2,,L2,,5:5,Direkt,Geblockt,Auslösung,0.10,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 3,D1,L3,,5:5,Gezogen,Auf Tor,Standart,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 4,D1,L1,,5:5,Direkt,Neben Tor,Festsetzen,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 5,D1,L3,,5:5,Gezogen,Geblockt,Auslösung,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 6,D1,L2,,5:5,Gezogen,Geblockt,Konter,0.10,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 7,D1,L2,,5:5,Handgelenk,Auf Tor,Unkontrolliert,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 8,D2,L2,,5:5,Gezogen,Geblockt,Festsetzen,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 9,D2,L1,,5:5,Direkt,Geblockt,Standart,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 10,D2,L1,,5:5,Gezogen,Geblockt,Festsetzen,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 11,D2,L3,,5:5,Gezogen,Neben Tor,Auslösung,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 12,D2,L1,,5:5,Direkt,Auf Tor,Festsetzen,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 13,D3,L2,,5:5,Handgelenk,Auf Tor,Konter,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 14,D3,L2,,5:5,Gezogen,Geblockt,Konter,0.25,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 15,D3,L3,,5:5,Gezogen,Auf Tor,Auslösung,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 16,D3,L3,,5:5,Direkt,Auf Tor,Festsetzen,0.35,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 17,D3,L1,,5:5,Gezogen,Auf Tor,Auslösung,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 18,D3,L1,,5:5,Gezogen,Auf Tor,Auslösung,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 19,D3,L3,,5:5,Gezogen,Geblockt,Konter,0.25,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance Against: 20,OT,L1,,5:5,Gezogen,Neben Tor,Konter,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Tor Schweden: 1,D1,L1,,"5:5, 5:5",,,Zone-Exits,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Tor Schweden: 2,D1,L2,,5:5,Handgelenk,,Konter,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Tor Schweden: 3,D1,PP1,,5:4,Direkt,,,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Tor Schweden: 4,D2,L2,,5:5,Direkt,,Zone-Exits,0.90,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Zone-Exits For: 1,D1,L1,,5:5,,,Zone-Exits,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Zone-Exits For: 2,D1,L2,,5:5,,,Zone-Exits,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Zone-Exits For: 3,D2,L3,,5:5,,,Zone-Exits,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Zone-Exits For: 4,D2,L2,,5:5,,,Zone-Exits,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Nachsetzen Against: 1,D1,L2,,5:5,,,Nachsetzen,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Nachsetzen Against: 2,D1,L1,,5:5,,,Nachsetzen,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Nachsetzen Against: 3,D2,L3,,5:5,,,Nachsetzen,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Nachsetzen Against: 4,D2,L1,,5:5,,,Nachsetzen,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Pot + Chance For: 1,D1,L3,,5:5,,,Konter,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Pot + Chance For: 2,D3,L3,,5:5,,,Auslösung,0.50,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot For: 1,D1,,,5:4,Direkt,Geblockt,,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot For: 2,D1,,,5:4,Direkt,Geblockt,,0.10,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot For: 3,D2,,,5:4,Volley,,,0.35,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot For: 4,,,,5:4,Gezogen,Neben Tor,,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot For: 5,D2,,,5:4,Gezogen,Geblockt,,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot For: 6,D2,,,5:4,Gezogen,Auf Tor,,0.35,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 1,D1,,,5:4,Gezogen,Auf Tor,,0.35,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 2,D1,,,5:4,Gezogen,Geblockt,,0.10,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 3,D1,,,5:4,Direkt,Neben Tor,,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 4,D1,,,5:4,Direkt,Auf Tor,,0.70,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 5,D2,,,5:4,Direkt,Geblockt,,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 6,D2,,,5:4,Gezogen,Geblockt,,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 7,D2,,,5:4,Gezogen,Geblockt,,0.25,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 8,D2,,,5:4,Direkt,Geblockt,,0.25,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 9,D2,,,5:4,Gezogen,Geblockt,,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 10,D2,,,5:4,Handgelenk,Geblockt,,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,PP Shot Against: 11,D2,,,5:4,Direkt,Neben Tor,,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Nachsetzen For: 1,D1,,Good,5:5,,,Nachsetzen,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Nachsetzen For: 2,,L2,Good,5:5,,,Nachsetzen,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Zone-Exits Against: 1,D1,L3,,5:5,,,Zone-Exits,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Zone-Exits Against: 2,,L2,,5:5,,,Zone-Exits,,Bad,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,High Q Chance Against: 1,D1,L2,,5:5,Direkt,,Auslösung,0.75,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,High Q Chance Against: 2,,L1,,5:5,,Auf Tor,Konter,0.70,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Pressing For: 1,D2,L1,Bad,,,,,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Pressing For: 2,D2,L2,Good,5:5,,,Pressing,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Against gg. Pressing: 1,D2,L1,,5:5,,,Auslösung,,Good,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Note: 1,,,,,,,,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Note: 2,,,,,,,,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Note: 3,,,,,,,,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Note: 4,,,,,,,,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Note: 5,,,,,,,,,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,High Q Chance For: 1,,L1,,5:5,Direkt,Neben Tor,Konter,0.75,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,High Q Chance For: 2,D3,L3,,5:5,Gezogen,Auf Tor,Auslösung,0.70,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,High Q Chance For: 3,D3,L1,,5:5,Gezogen,Auf Tor,Konter,0.70,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,High Q Chance For: 4,D3,L1,,5:5,Direkt,"Auf Tor, Geblockt",Standart,0.70,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Tor Finnland: 1,D2,L1,,5:5,Gezogen,,Konter,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Tor Finnland: 2,D2,PP1,,5:4,,,,0.45,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Tor Finnland: 3,D3,PP1,,5:4,Direkt,,,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Tor Finnland: 4,D3,L1,,5:5,Direkt,,Pressing,0.80,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Tor Finnland: 5,OT,L1,,5:5,Direkt,,Konter,0.65,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Pot + Chance Against: 1,D2,L1,,5:5,Direkt,,Festsetzen,0.35,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Pot + Chance Against: 2,D3,L1,,5:5,Direkt,,Konter,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Mid Q Chance Against: 1,D2,L1,,5:5,Handgelenk,Auf Tor,Festsetzen,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Mid Q Chance Against: 2,D3,L1,,5:5,Handgelenk,Geblockt,Festsetzen,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Mid Q Chance Against: 3,D3,L1,,5:5,Direkt,Auf Tor,Festsetzen,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Mid Q Chance Against: 4,D3,L2,,5:5,Direkt,Auf Tor,Festsetzen,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Mid Q Chance Against: 5,D3,L1,,5:5,Direkt,Auf Tor,Festsetzen,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Mid Q Chance Against: 6,D3,L1,,5:5,Gezogen,Auf Tor,Konter,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Mid Q Chance Against: 7,OT,L2,,5:5,Direkt,Auf Tor,Konter,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Mid Q Chance For: 1,D3,L2,,5:5,,Auf Tor,Auslösung,0.40,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Mid Q Chance For: 2,OT,L1,,5:5,Gezogen,,Konter,0.40,,
